EA,ID,Dir,Open_DT,Entry,SL,TP2,Close_DT,Close_Px,Lots,PnL,Reason
Swing,31,BUY,2026-01-16 16:00:00,63.73,63.16,65.47,2026-01-19 08:00:00,63.15,1.91,-112.51,SL
Swing,32,BUY,2026-02-04 09:00:00,67.08,66.35,69.24,2026-02-04 19:00:00,69.24,1.52,329.63,TP2
Swing,33,BUY,2026-02-27 07:00:00,71.06,72.19,73.29,2026-02-27 15:00:00,73.29,1.52,226.42,TP2
Swing,34,BUY,2026-03-04 11:00:00,82.64,80.79,88.18,2026-03-04 13:00:00,80.78,0.62,-115.32,SL
Swing,35,BUY,2026-03-11 10:00:00,90.17,98.62,103.54,2026-03-12 08:00:00,98.61,0.25,173.59,SL
Swing,36,BUY,2026-03-12 10:00:00,96.14,98.84,107.35,2026-03-12 19:00:00,98.83,0.31,124.52,SL
Swing,37,BUY,2026-03-20 12:00:00,110.8,107.87,119.57,2026-03-20 14:00:00,107.86,0.41,-120.38,SL
Swing,38,BUY,2026-03-20 16:00:00,109.19,112.34,117.89,2026-03-23 13:00:00,112.33,0.4,143.13,SL
Swing,39,SELL,2026-03-25 08:00:00,100.3,103.12,91.87,2026-03-26 10:00:00,103.13,0.43,-121.33,SL
Swing,40,SELL,2026-04-14 08:00:00,100.28,96.82,94.74,2026-04-15 05:00:00,96.83,0.65,185.45,SL
Swing,41,SELL,2026-04-17 11:00:00,98.88,98.76,95.67,2026-04-17 15:00:00,95.67,1.15,245.43,TP2
Swing,42,BUY,2026-04-27 07:00:00,106.36,109.41,111.24,2026-04-28 11:00:00,109.4,0.77,193.76,SL
Swing,43,BUY,2026-04-28 15:00:00,109.7,113.14,114.5,2026-04-29 16:00:00,114.5,0.8,255.49,TP2
Swing,44,BUY,2026-05-04 10:00:00,115.0,115.22,120.72,2026-05-04 15:00:00,115.21,0.69,110.34,SL
Swing,45,BUY,2026-05-04 15:00:00,115.52,118.29,122.42,2026-05-04 21:00:00,118.28,0.58,170.69,SL
Swing,46,BUY,2026-05-15 13:00:00,110.25,112.67,114.64,2026-05-18 10:00:00,112.66,0.94,201.07,SL
Swing,47,SELL,2026-05-29 10:00:00,96.11,94.94,91.61,2026-05-29 21:00:00,94.95,0.93,154.42,SL
Swing,48,SELL,2026-06-04 13:00:00,99.3,98.08,95.91,2026-06-04 16:00:00,98.09,1.26,175.04,SL
Swing,49,SELL,2026-06-23 11:00:00,77.08,77.96,74.43,2026-06-23 19:00:00,76.87,1.65,33.82,EOT
Scalper,50,BUY,2025-08-20 16:00:00,66.86,66.68,67.32,2025-08-20 16:30:00,66.67,3.0,-58.1,SL
Scalper,51,BUY,2025-08-21 08:45:00,67.45,67.35,67.72,2025-08-21 10:00:00,67.72,3.0,78.63,TP2
Scalper,52,BUY,2025-08-21 12:30:00,67.73,67.57,68.16,2025-08-21 14:15:00,67.56,3.0,-53.93,SL
Scalper,53,BUY,2025-08-22 07:15:00,67.83,67.97,68.07,2025-08-22 09:30:00,67.96,3.0,40.5,SL
Scalper,54,BUY,2025-08-22 10:30:00,68.09,67.91,68.55,2025-08-22 11:00:00,67.9,3.0,-57.45,SL
Scalper,55,BUY,2025-08-25 08:45:00,68.06,67.95,68.32,2025-08-25 09:30:00,67.94,3.0,-34.21,SL
Scalper,56,BUY,2025-08-25 10:45:00,68.0,67.87,68.35,2025-08-25 13:00:00,68.35,3.0,102.69,TP2
Scalper,57,BUY,2025-08-25 16:15:00,68.48,68.67,68.89,2025-08-25 16:45:00,68.66,3.0,52.5,SL
Scalper,58,SELL,2025-08-27 11:30:00,67.09,67.28,66.64,2025-08-27 12:45:00,67.29,3.0,-57.61,SL
Scalper,59,SELL,2025-08-28 08:15:00,67.5,67.6,67.24,2025-08-28 09:00:00,67.61,3.0,-33.57,SL
Scalper,60,SELL,2025-08-28 11:30:00,67.56,67.77,67.04,2025-08-28 12:00:00,67.78,3.0,-65.48,SL
Scalper,61,BUY,2025-08-28 12:45:00,67.72,67.91,68.24,2025-08-28 15:15:00,67.9,3.0,52.5,SL
Scalper,62,BUY,2025-08-29 08:30:00,68.31,68.2,68.56,2025-08-29 09:30:00,68.19,3.0,-33.38,SL
Scalper,63,BUY,2025-08-29 11:00:00,68.3,68.13,68.71,2025-08-29 12:00:00,68.12,3.0,-52.82,SL
Scalper,64,BUY,2025-08-29 12:45:00,68.22,68.38,68.78,2025-08-29 16:00:00,68.37,3.0,46.5,SL
Scalper,65,BUY,2025-09-02 09:00:00,69.08,68.98,69.32,2025-09-02 09:15:00,68.97,3.0,-32.74,SL
Scalper,66,SELL,2025-09-04 15:45:00,67.27,67.47,66.75,2025-09-04 17:45:00,67.48,3.0,-65.21,SL
Scalper,67,SELL,2025-09-05 09:00:00,67.3,67.4,67.03,2025-09-05 11:45:00,67.41,3.0,-35.21,SL
Scalper,68,SELL,2025-09-05 13:15:00,67.22,67.42,66.7,2025-09-05 15:00:00,66.7,3.0,153.54,TP2
Scalper,69,BUY,2025-09-08 15:00:00,67.36,67.16,67.85,2025-09-08 15:45:00,67.15,3.0,-62.69,SL
Scalper,70,BUY,2025-09-09 09:30:00,66.97,66.85,67.29,2025-09-09 11:15:00,67.29,3.0,93.64,TP2
Scalper,71,BUY,2025-09-10 11:30:00,67.42,67.24,67.88,2025-09-10 12:15:00,67.23,3.0,-58.15,SL
Scalper,72,BUY,2025-09-10 13:30:00,67.36,67.17,67.81,2025-09-10 17:30:00,67.16,3.0,-57.11,SL
Scalper,73,SELL,2025-09-16 11:30:00,67.3,67.52,66.76,2025-09-16 12:45:00,67.53,3.0,-68.43,SL
Scalper,74,BUY,2025-09-17 09:00:00,68.69,68.6,68.9,2025-09-17 09:15:00,68.59,3.0,-28.8,SL
Scalper,75,SELL,2025-09-18 12:15:00,67.89,68.12,67.29,2025-09-18 13:15:00,68.13,3.0,-73.88,SL
Scalper,76,SELL,2025-09-19 07:00:00,67.55,67.42,67.27,2025-09-19 08:45:00,67.43,3.0,34.5,SL
Scalper,77,SELL,2025-09-19 10:45:00,67.39,67.24,67.0,2025-09-19 12:15:00,67.25,3.0,40.5,SL
Scalper,78,SELL,2025-09-19 16:00:00,67.12,67.39,66.47,2025-09-19 17:15:00,67.4,2.99,-81.02,SL
Scalper,79,BUY,2025-09-24 08:30:00,67.86,67.78,68.09,2025-09-24 08:45:00,67.77,3.0,-29.98,SL
Scalper,80,BUY,2025-09-24 09:45:00,67.78,67.67,68.07,2025-09-24 10:30:00,68.07,3.0,86.05,TP2
Scalper,81,BUY,2025-09-24 12:15:00,67.92,68.25,68.46,2025-09-24 14:30:00,68.24,3.0,97.5,SL
Scalper,82,BUY,2025-09-25 08:30:00,68.97,68.89,69.2,2025-09-25 10:15:00,68.88,3.0,-29.67,SL
Scalper,83,BUY,2025-09-26 08:30:00,69.47,69.38,69.72,2025-09-26 08:45:00,69.37,3.0,-32.3,SL
Scalper,84,BUY,2025-09-26 11:15:00,69.45,69.29,69.84,2025-09-26 11:30:00,69.28,3.0,-50.08,SL
Scalper,85,BUY,2025-09-26 15:30:00,69.39,69.64,69.86,2025-09-26 17:00:00,69.86,3.0,138.94,TP2
Scalper,86,SELL,2025-09-29 12:00:00,68.28,67.96,67.76,2025-09-29 14:15:00,67.97,3.0,94.5,SL
Scalper,87,SELL,2025-09-30 10:00:00,66.55,66.38,66.18,2025-09-30 10:30:00,66.39,3.0,49.5,SL
Scalper,88,SELL,2025-10-01 08:30:00,66.09,66.21,65.8,2025-10-01 09:30:00,66.22,3.0,-38.62,SL
Scalper,89,SELL,2025-10-01 11:15:00,66.11,66.32,65.61,2025-10-01 11:30:00,65.61,3.0,152.31,TP2
Scalper,90,SELL,2025-10-01 15:30:00,65.48,65.77,64.77,2025-10-01 19:15:00,65.78,2.85,-83.82,SL
Scalper,91,SELL,2025-10-02 12:00:00,65.12,64.86,64.5,2025-10-02 16:30:00,64.87,3.0,76.5,SL
Scalper,92,BUY,2025-10-06 10:00:00,65.41,65.2,65.92,2025-10-06 10:30:00,65.19,3.0,-64.9,SL
Scalper,93,BUY,2025-10-06 11:30:00,65.5,65.23,66.19,2025-10-06 14:00:00,65.22,2.93,-83.18,SL
Scalper,94,BUY,2025-10-06 16:45:00,65.5,65.19,66.27,2025-10-06 17:00:00,65.18,2.58,-82.06,SL
Scalper,95,BUY,2025-10-07 08:45:00,65.53,65.43,65.79,2025-10-07 09:45:00,65.42,3.0,-34.04,SL
Scalper,96,SELL,2025-10-07 11:30:00,65.22,65.42,64.69,2025-10-07 14:00:00,65.43,3.0,-65.97,SL
Scalper,97,BUY,2025-10-08 09:30:00,65.81,65.7,66.08,2025-10-08 09:45:00,65.69,3.0,-35.44,SL
Scalper,98,SELL,2025-10-09 14:45:00,65.64,65.86,65.07,2025-10-09 15:15:00,65.87,3.0,-70.68,SL
Scalper,99,BUY,2025-10-09 15:30:00,65.97,65.74,66.52,2025-10-09 16:45:00,65.73,3.0,-70.07,SL
Scalper,100,BUY,2026-05-01 11:45:00,117.11,116.27,119.18,2026-05-01 14:15:00,116.26,0.92,-77.31,SL
Scalper,101,SELL,2026-05-04 07:30:00,112.94,113.47,111.59,2026-05-04 08:15:00,111.59,1.41,189.6,TP2
Scalper,102,SELL,2026-05-06 10:30:00,112.06,112.77,110.3,2026-05-06 10:45:00,110.3,1.1,193.79,TP2
Scalper,103,SELL,2026-05-07 07:30:00,105.8,106.25,104.69,2026-05-07 09:30:00,104.69,1.78,198.0,TP2
Scalper,104,SELL,2026-05-08 11:15:00,103.95,104.86,101.7,2026-05-08 17:00:00,104.87,0.89,-81.07,SL
Scalper,105,SELL,2026-05-14 09:00:00,108.72,109.07,107.83,2026-05-14 09:30:00,107.83,2.27,200.63,TP2
Scalper,106,SELL,2026-05-14 13:00:00,108.44,107.48,106.61,2026-05-14 15:15:00,107.49,1.12,105.84,SL
Scalper,107,BUY,2026-05-15 08:30:00,110.12,109.75,111.05,2026-05-15 10:15:00,109.74,2.23,-84.83,SL
Scalper,108,BUY,2026-05-15 10:45:00,110.52,110.05,111.68,2026-05-15 11:15:00,111.68,1.75,204.28,TP2
Scalper,109,BUY,2026-05-15 16:45:00,111.33,110.69,112.91,2026-05-15 17:15:00,110.68,1.31,-84.45,SL
Scalper,110,BUY,2026-05-18 14:00:00,112.89,112.27,114.45,2026-05-18 14:30:00,112.26,1.33,-84.17,SL
Scalper,111,BUY,2026-05-19 11:00:00,112.67,112.02,114.27,2026-05-19 12:45:00,112.01,1.28,-83.22,SL
Scalper,112,BUY,2026-05-19 13:30:00,112.84,112.23,114.39,2026-05-19 15:30:00,112.22,1.32,-82.9,SL
Scalper,113,BUY,2026-05-19 16:15:00,113.31,112.62,115.04,2026-05-19 16:45:00,112.61,1.17,-82.02,SL
Scalper,114,SELL,2026-05-20 09:15:00,111.94,111.34,110.68,2026-05-20 11:45:00,110.68,1.58,200.0,TP2
Scalper,115,SELL,2026-05-20 13:00:00,110.81,110.12,109.25,2026-05-20 15:45:00,110.13,1.3,89.05,SL
Scalper,116,SELL,2026-05-20 16:00:00,109.92,110.66,108.04,2026-05-20 16:15:00,110.67,1.1,-83.57,SL
Scalper,117,SELL,2026-05-21 07:45:00,107.09,107.53,106.0,2026-05-21 08:30:00,107.54,1.87,-83.43,SL
Scalper,118,SELL,2026-05-21 10:30:00,107.61,106.74,106.21,2026-05-21 11:15:00,106.75,1.44,124.56,SL
Scalper,119,SELL,2026-05-25 12:00:00,99.39,98.82,97.68,2026-05-25 14:00:00,98.83,1.2,67.8,SL
Scalper,120,SELL,2026-05-29 09:15:00,94.89,95.35,93.73,2026-05-29 10:15:00,95.36,1.79,-84.36,SL
Scalper,121,SELL,2026-05-29 12:00:00,94.83,95.46,93.23,2026-05-29 17:30:00,95.47,1.28,-82.89,SL
Scalper,122,SELL,2026-06-02 10:30:00,96.86,97.4,95.53,2026-06-02 15:30:00,97.41,1.52,-82.77,SL
Scalper,123,SELL,2026-06-04 11:15:00,99.34,98.61,97.97,2026-06-04 14:30:00,98.62,1.47,106.57,SL
Scalper,124,SELL,2026-06-05 07:15:00,98.17,97.64,97.39,2026-06-05 10:15:00,97.39,2.62,203.79,TP2
Scalper,125,SELL,2026-06-05 15:30:00,97.48,98.07,96.03,2026-06-05 17:00:00,96.03,1.42,207.17,TP2
Scalper,126,SELL,2026-06-09 09:15:00,95.41,95.82,94.38,2026-06-09 11:30:00,94.38,2.07,212.31,TP2
Scalper,127,SELL,2026-06-09 16:00:00,94.58,95.18,93.1,2026-06-09 16:45:00,93.1,1.45,215.72,TP2
Scalper,128,SELL,2026-06-10 10:00:00,93.22,93.74,91.95,2026-06-10 10:30:00,93.75,1.72,-89.74,SL
Scalper,129,SELL,2026-06-10 11:45:00,93.22,93.92,91.46,2026-06-10 14:00:00,93.93,1.24,-88.52,SL
Scalper,130,SELL,2026-06-11 16:45:00,94.19,95.11,91.87,2026-06-11 18:15:00,95.12,0.93,-87.21,SL
Scalper,131,SELL,2026-06-15 11:30:00,83.91,84.44,82.56,2026-06-15 22:15:00,84.45,1.6,-87.52,SL
Scalper,132,SELL,2026-06-17 10:30:00,78.72,79.33,77.17,2026-06-17 11:00:00,79.34,1.38,-86.64,SL
Scalper,133,SELL,2026-06-17 13:30:00,79.17,79.76,77.71,2026-06-17 13:45:00,79.77,1.44,-85.86,SL
Scalper,134,SELL,2026-06-18 12:45:00,77.7,78.21,76.43,2026-06-18 13:30:00,78.22,1.65,-85.53,SL
Scalper,135,SELL,2026-06-18 15:00:00,78.33,77.77,76.97,2026-06-18 16:45:00,76.97,1.52,208.06,TP2
Scalper,136,BUY,2026-06-19 16:45:00,79.67,80.38,81.32,2026-06-19 19:45:00,80.37,1.28,90.24,SL
Scalper,137,SELL,2026-06-22 14:00:00,78.72,78.31,77.48,2026-06-22 15:45:00,78.32,1.71,69.25,SL
Scalper,138,SELL,2026-06-23 08:15:00,77.11,76.66,76.46,2026-06-23 09:30:00,76.46,3.0,196.76,TP2
Scalper,139,SELL,2026-06-23 15:00:00,77.09,76.56,76.02,2026-06-23 17:30:00,76.57,2.04,107.1,SL
